인허가일자,영업상태명,폐업일자,사업장명,지번주소,업태구분명,좌표정보(X),좌표정보(Y),영업장주변구분명
20181025,영업/정상,20250101,지에스25 등촌한올림점,서울특별시 강서구 등촌동 656-0번지 경동미르웰한올림 (지상 1층) 101동 103호,편의점,186992.135263731,450564.401447311,
20181112,영업/정상,20250101,세븐일레븐 마곡르보아점,서울특별시 강서구 마곡동 739-2번지 우성르보아투 (지상 1층) 121호,편의점,183837.0,451687.0,
20181112,영업/정상,20250101,씨유 화곡신월초교점,서울특별시 강서구 화곡동 1081-39 1층 ,편의점,185680.786227784,448576.194577559,
20181122,영업/정상,20250101,이마트24 뉴가양8단지점,서울특별시 강서구 가양동 1482 가양도시개발공사아파트(가양8단지아파트) ,편의점,187311.265729415,451100.619120075,
20181130,영업/정상,20250101,씨유 마곡엠코점,서울특별시 강서구 마곡동 776-4번지 엠코지니어스타 B동 107호,편의점,185830.0,451679.0,
20181206,영업/정상,20250101,지에스(GS)25 가양글로벌점,서울특별시 강서구 가양동 448-11번지 가양글로벌퍼스트 104동 107호,편의점,187454.124266828,450913.855208112,
20181214,영업/정상,20250101,씨유 수명산7단지점,서울특별시 강서구 내발산동 756번지 마곡수명산파크7단지아파트 상가동 101호,편의점,184263.046270841,449557.87737204,
20181218,영업/정상,20250101,지에스25(GS25) 강서부영점,서울특별시 강서구 등촌동 691-3번지 부영아파트 상가동 109호,편의점,186115.887920435,451264.767153689,
20190109,영업/정상,20250101,씨유 우장산힐스테이트점,서울특별시 강서구 내발산동 658-0 명성빌딩 (지상 1층) ,편의점,185972.69133937,450530.52233773,
20190125,영업/정상,20250101,GS25 강서공항점,서울특별시 강서구 공항동 60-31번지 ,편의점,183211.711253144,450672.553951794,
20190128,영업/정상,20250101,이마트24 등촌5단지점,서울특별시 강서구 등촌동 695번지 등촌5단지주공아파트 ,편의점,186223.793407907,450919.825663626,
20190129,영업/정상,20250101,GS 25 등촌현대점,서울특별시 강서구 등촌동 715 등촌아이파크아파트 (지상 1층) 상가동 105호,편의점,187578.179002957,449082.434083143,
20190226,영업/정상,20250101,지에스(GS)25 가양메르디앙점,서울특별시 강서구 등촌동 720번지 103호,편의점,187282.745177333,450848.52488461,
20190228,영업/정상,20250101,씨유 
