인허가일자,영업상태명,폐업일자,사업장명,지번주소,업태구분명,좌표정보(X),좌표정보(Y)
19990517,취소/말소/만료/정지/중지,20250101,먹거리장터,서울특별시 강서구 화곡동 958-13 ,식육판매업,186817.9244,449700.3596
19990920,영업/정상,20250101,축산물직판장(새서울유통공항점),서울특별시 강서구 방화동 614-33,식육판매업,183220.8452,451348.2812
19991111,영업/정상,20250101,우리정육점,서울특별시 강서구 화곡동 98-101 ,식육판매업,186231.899,448784.0466
20000304,폐업,20220926,(주)이마트가양점(정육코너),서울특별시 강서구 가양동 449-19,식육판매업,187761.1943,450640.2145
20000501,영업/정상,20250101,(주)임박사,서울특별시 강서구 화곡동 772-71,식육판매업,187845.6075,448071.203
20001023,영업/정상,20250101,홈플러스(주)가양점 정육,서울특별시 강서구 가양동 18-24 지하2층,식육판매업,186687.1318,451342.7735
20001116,영업/정상,20250101,나눔축산,서울특별시 강서구 공항동 654-8,식육판매업,183452.025,450635.29
20010406,영업/정상,20250101,오성축산유통,서울특별시 강서구 화곡동 952-2 지하1층 ,식육판매업,186932.8038,449538.1378
20010731,영업/정상,20250101,삼일정육점,서울특별시 강서구 방화동 580-159,식육판매업,183379.7863,452080.3731
20011102,폐업,20230518,충북음성축산물직판장,서울특별시 강서구 화곡동 98-59,식육판매업,186060.1788,448951.8867
20020322,취소/말소/만료/정지/중지,20250101,신원정육점,서울특별시 강서구 등촌동 687 주공1단지지하상가 ,식육판매업,186009.1945,451422.0553
20020426,영업/정상,20250101,럭키슈퍼렛,서울특별시 강서구 등촌동 704 (주공9단지지하상가) ,식육판매업,186644.6441,451051.2673
20030327,영업/정상,20250101,유일청정정육점,서울특별시 강서구 내발산동 676-22 ,식육판매업,185668.9734,450047.623
20030408,영업/정상,20250101,방신,서울특별시 강서구 방화동 569-45,식육판매업,183343.9387,452221.6983
20030609,폐업,20230911,주식회사 정은미트,서울특별시 강서구 방화동 312-4 1층,식육판매업,183818.101,452734.9476
20030618,영업/정상,20250101,부흥축산,서울특별시 강서구 방화동 580-160,식육판매업,183401.6056,452078.967
20030719,영업/정상,20250101,미주정육점,서울특별시 강서구 가양동 1460 ,식육판매업,186236.2811,452133.2779
20030722,영업/정상,20250101,하림KS닭고기,서울특별시 강서구 화곡동 802-18 1층,식육판매업,187641.5118,447888.6819
20030724,폐업,20220719,롯데슈퍼 화곡2점,서울특별시 강서구 화곡동 830-1,식육판매업,187464.4032,447877.7107
20030808,영업/정상,20250101,청송한우정육점,서울특별시 강서구 화곡동 1100 상가101호 ,식육판매업,186598.6254,450262.4069
20030905,취소/말소/만료/정지/중지,20250101,그린할인마트,서울특별시 강서구 방화동 614-52 ,식육판매업,183243.4686,451415.8358
20031010,영업/정상,20250101,머글꺼리,서울특별시 강서구 화곡동 801-15 ,식육판매업,187524.326,447875.759
20031029,영업/정상,20250101,하림닭고기화곡점,서울특별시 강서구 화곡동 362-3,식육판매업,185763.8122,448092.1097
20031029,취소/말소/만료/정지/중지,20220401,시골고기장터,서울특별시 강서구 내발산동 723-6,식육판매업,185416.9952,449583.9421
20040113,영업/정상,20250101,화곡축산도소매센타,서울특별시 강서구 화곡동 98-44,식육판매업,186146.9297,448981.849
20040114,취소/말소/만료/정지/중지,20250101,성지축산,서울특별시 강서구 화곡동 910-1 ,식육판매업,186295.5793,447354.6475
20040503,폐업,20221011,프라임마트 마곡점,서울특별시 강서구 방화동 180-7 정곡빌딩 1층,식육판매업,183846.1027,452293.4555
20040706,영업/정상,20250101,(주)양천미트,서울특별시 강서구 등촌동 528-6 ,식육판매업,187533.6467,449719.2589
20040706,영업/정상,20250101,현대그린마트(화곡),서울특별시 강서구 화곡동 958-12,식육판매업,186800.1939,449680.2728
20040820,영업/정상,20250101,한성정육도매점,서울특별시 강서구 화곡동 798-20,식육판매업,187617.0729,447862.6548
20041008,취소/말소/만료/정지/중지,20230731,남부축산,서울특별시 강서구 화곡동 799-22,식육판매업,187544.6806,447851.4878
20041105,폐업,20250101,부길축산도소매,서울특별시 강서구 외발산동 424 수협공판장2층 ,식육판매업,183914.9383,450085.0146
20041119,영업/정상,20250101,신화닭집,서울특별시 강서구 화곡동 98-252,식육판매업,186132.6201,449003.4687
20041130,영업/정상,20250101,농민축산물쎈타,서울특별시 강서구 방화동 580-71 1층상가,식육판매업,183388.7586,452120.3933
20041202,영업/정상,20250101,시장닭집,서울특별시 강서구 화곡동 340-41,식육판매업,186387.9805,447869.5398
20041209,영업/정상,20250101,명품닭집,서울특별시 강서구 화곡동 341-63,식육판매업,186405.4485,447833.3679
20050503,취소/말소/만료/정지/중지,20250101,아울렛마트,서울특별시 강서구 방화동 580-125 (1층) ,식육판매업,183364.7456,451864.0708
20050908,영업/정상,20250101,홈플러스(주),서울특별시 강서구 등촌동 639-11,식육판매업,187119.9482,450691.5932
20051103,영업/정상,20250101,고향정육점,서울특별시 강서구 방화동 607-93 1층 ,식육판매업,183537.6515,451595.5703
20051125,영업/정상,20250101,럭키할인마트,서울특별시 강서구 염창동 264-18 현대마트내 지하1층,식육판매업,188692.0332,449699.8326
20060103,영업/정상,20250101,일호 축산물 백화점,서울특별시 강서구 방화동 569-15,식육판매업,183303.0794,452311.4051
20060405,영업/정상,20250101,프라임정육,서울특별시 강서구 방화동 580-120,식육판매업,183383.5826,451847.4852
20060407,영업/정상,20250101,우리축산물직거래장터,서울특별시 강서구 화곡동 341-66,식육판매업,186395.8093,447802.161
20060504,영업/정상,20250101,대성축산,서울특별시 강서구 화곡동 1033-43,식육판매업,185569.361,449052.4463
20060724,취소/말소/만료/정지/중지,20250101,제주한울미트,서울특별시 강서구 공항동 1355-1 ,식육판매업,183778.1749,450341.052
